Height of Entrance,Height of the middle of the vault,Angle of Opening in Degree,Truss frequency along the length,Truss frequency space along the width,Truss depth,Number of elements,Number of joints,Total length of elements,Length of the longest member,Maximum displacement,Structure mass
24,39,17,35,14,-2.5,3920,1030,14802.0326501304,5.75416902566863,2.65526107362443,66882.4314472031
17,20,15,17,11,-2,1496,403,6990.89664156908,6.43295795503924,2.85513089890811,27343.5015466258
24,43,11,31,11,-2.3,2728,725,12117.4006567516,8.02027553374217,2.36059231803736,60328.4569459539
28,30,29,23,13,-2.8,2392,635,11072.9781672322,6.67630922446353,2.99767394734899,44770.9267941908
16,32,6,28,3,-2.1,672,200,6114.4036421228,19.296988807848,0.260930869196778,35776.7919131644
17,28,21,38,4,-2,1216,347,8282.35033437185,14.1937098145308,2.99741136981509,46744.839584687
15,17,24,32,5,-2.7,1280,358,6948.38430167814,11.0624045995153,1.82096311138661,33029.7533854893
15,37,19,45,8,-2.2,2880,774,12813.7466194398,9.53218092926383,1.73589348791997,66012.3539174801
26,36,25,30,7,-2.4,1680,458,9699.88069364246,11.6738042240264,2.41698300300568,54728.5601923574
19,22,38,44,3,-2.5,1056,312,8468.03773346525,18.3772193732145,2.91793594493781,58182.5849149676
25,40,17,38,13,-1.9,3952,1040,14482.5445091357,6.29689168436967,2.70500936426118,64258.6735176034
26,39,37,43,9,-3,3096,827,15216.0843379729,9.29674935851,2.99934427049103,73294.1596836823
21,33,27,27,9,-2.1,1944,523,9205.99129800253,7.66746670731449,2.75247764089383,44046.5316951027
15,28,30,41,4,-1.9,1312,374,8650.16637478464,13.5188636554444,2.97185376010207,48707.5931110322
21,15,19,46,7,-3,2576,698,11252.2110776492,9.92788445465412,2.25577868442724,51358.7080225112
27,27,44,35,14,-2.8,3920,1030,15008.137185097,6.06587070503008,2.99520942537211,81141.6213674144
27,27,44,38,7,-2.8,2128,578,11321.3155048229,12.0286494547318,2.7708377700047,62107.1895699762
16,27,44,38,14,-2.8,4256,1117,14733.6197341641,4.26350225888016,2.94593599657592,59937.1895484853
27,27,44,21,14,-2.8,2352,624,11168.9515822065,6.55324945425369,2.93775226179822,51781.4886905388
27,27,44,38,14,-3,4256,1117,16211.6872176151,6.10011572360966,2.99996287537044,88376.5026545955
27,34,44,38,14,-2.8,4256,1117,16485.0601448834,6.11079924428313,2.99991307155603,84165.1968615477
27,27,44,34,14,-2.8,3808,1001,14724.9922281809,6.06320118559688,2.98892542400417,79250.3440109833
27,27,4,38,14,-2.8,4256,1117,15056.8928331897,6.08201383143747,2.0986388579574,62089.1225710826
27,27,44,38,4,-2.8,1216,347,9428.09019288006,19.5908639030047,2.99841074999037,61651.8582431155
27,27,44,38,14,-2.5,4256,1117,15357.4384049268,6.03250762582597,2.99972653721293,86188.9798763156
15,34,6,36,5,-3,1440,402,9288.43980019167,13.6124269643474,0.829333723358886,53358.139992014
30,31,8,29,3,-2.8,696,207,7204.89455657556,27.2671424384744,0.947259236767685,51177.1785675796
15,22,10,29,3,-1.8,696,207,5456.51417887987,16.7004442849248,0.300448595949947,26958.2438576232
15,17,31,26,6,-2.8,1248,345,6515.0504310807,9.19873668590545,2.06854308512475,29127.5821642111
15,16,24,22,4,-2.8,704,203,4770.63293742064,13.6303968862305,1.54812690120848,22056.6684481001
16,15,5,25,3,-2.2,600,179,4534.7210170611,17.1999015666761,0.244372004966284,21397.9502052075
15,19,26,19,3,-2.8,456,137,3943.98581814509,17.3284797152007,0.52147126814577,20748.79703869
15,15,32,33,3,-2.9,792,235,5894.07821539934,17.3666882226618,1.36312610280842,34281.0536407047
20,16,7,19,5,-3,760,215,4937.4401517308,12.9601416351213,1.19696506764532,23420.6596485873
16,15,35,14,5,-2.4,560,160,3955.05751174878,10.9139075605956,2.99964577382393,17927.8714824349
17,15,0,12,4,-2.2,384,113,3091.85684068584,13.6674597034367,2.40369461055958,14148.4048028281
20,15,25,12,4,-2.9,384,113,3363.91836448953,15.0969287094363,2.3654611042637,16183.8140032296
19,15,18,12,5,-2.5,480,138,3684.8555926135,11.9820977353767,2.34118327238192,16914.0085679994
15,32,43,12,6,-2.8,576,163,4644.82074160376,11.0985011536865,2.24618388249152,22545.8366993885
21,15,32,35,5,-2.7,1400,391,7781.53531195144,13.3150371665416,2.99782544383331,37930.8257118827
21,45,35,42,5,-2.6,1680,468,12291.9536122654,17.5323854402674,2.70321303900814,91771.2187826567
15,16,25,12,4,-2.9,384,113,3246.34898368027,13.4517548843663,1.71896950457877,14688.5559736845
24,20,7,12,3,-3,288,88,3083.51598256585,22.29317086936,0.279801007785629,16429.3531583823
15,15,33,23,4,-2.8,736,212,4901.78910866389,13.5282647433306,1.96795526340772,22911.3829877721
18,15,12,14,13,-3,1456,392,7633.06138068978,7.9333071468111,2.40225704969623,28927.426980232
20,15,6,19,8,-3,1216,332,6290.13830529872,8.18741397191118,1.28401287746213,25318.5596290396
18,15,25,12,4,-3,384,113,3317.80080323227,14.4732270975622,1.98702458860692,15374.8761988106
15,16,24,13,3,-2.9,312,95,2941.75039085567,17.1195935778337,0.333209491107514,14180.041835434
18,17,7,26,3,-2.4,624,186,4940.34531281414,18.0282575234228,0.388977968285332,24557.1148071373
15,23,14,21,6,-1.7,1008,280,5503.22854153939,8.80378468590707,2.58543756763672,26345.7903728789
16,15,5,22,8,-2.9,1408,383,6636.29674809978,7.30237221521515,1.23114632700792,25980.8411170269
17,21,7,26,3,-2.3,624,186,5114.44403915518,17.7416372791266,0.970002300116891,26399.0651442738
21,16,21,26,7,-2.8,1456,398,7265.9427204431,9.73930759396591,1.99605689051644,32076.9562042888
30,15,0,23,3,-2.2,552,165,4854.20887576319,27.2671424384744,0.17106831410776,27042.2655454135
15,16,16,21,3,-2.9,504,151,4113.31105300223,17.4642585730578,0.358013494477141,20364.1232784473
22,23,4,27,9,-3,1944,523,8950.00022740716,7.98984109896882,1.25733803037611,38023.2196132051
22,38,9,24,8,-2.8,1536,417,8623.97686144989,9.86885702191513,1.30668360247587,44493.9324058407
22,19,16,24,8,-2.7,1536,417,7500.09704060753,8.82110641525433,1.8888405762406,32050.0836698887
22,31,18,18,12,-2.8,1728,463,8749.18954916222,6.31116016767783,2.29619781247813,36045.1491229619
22,15,11,14,8,-2.8,896,247,5419.11907260534,8.54516255632632,1.71535415846933,22368.8004781237
22,15,2,17,13,-2.9,1768,473,8197.71768877042,6.52999476008803,1.94235696882625,30652.9775009489
22,45,3,12,8,-2.6,768,213,5759.09125448622,11.4345721197747,1.92933722500211,29928.0574259077
22,15,3,28,6,-2.8,1344,371,6987.25493832544,11.6889280883057,1.10694351984022,32380.8337274093
22,15,2,18,8,-2.9,1152,315,6091.53001941245,8.69780050504086,1.23855772240724,24740.0427367637
22,15,3,17,11,-2.4,1496,403,7037.03938046442,6.5670475800771,1.95119621346065,26987.1092866103
22,15,0,12,8,-2.8,768,213,4931.20020314939,9.10433352249845,1.39292042583492,20145.6137481051
22,15,11,12,8,-3,768,213,5111.98970672569,9.70301328862585,1.72792194774422,21109.3834590416
22,15,8,14,12,-2.9,1344,363,7212.58590696666,8.19985591095358,2.21433017968904,27704.0037376028
22,18,19,12,14,-3,1344,363,8026.58486878205,9.89938146047551,2.96799341416706,30104.2468141063
22,15,14,25,11,-2.9,2200,587,9178.47921070435,6.42502274790647,2.15666819650501,35453.9235587522
22,22,16,28,10,-2.9,2240,599,9722.44097699428,7.14225994634318,2.03836997244595,40018.6110946811
22,15,11,15,9,-3,1080,295,6122.23257875185,7.76320495449698,1.688122680798,24615.4704473528
22,45,2,14,6,-2.8,672,189,5496.97585627137,14.787768705532,1.45487240761628,31922.9279648062
22,30,3,20,14,-2.7,2240,595,9796.40261537093,5.18442269758038,2.22329607964992,38636.9027418863
22,15,3,12,13,-3,1248,338,7186.10813968799,9.26824758574544,2.21114308057501,28140.0553815188
22,16,1,18,11,-2.9,1584,426,7493.6297274049,6.36277110242424,1.5768167684083,28512.4113540762
22,15,11,12,4,-3,384,113,3364.22027210786,16.1648367905789,1.76223488915606,16100.858775529
22,16,11,12,8,-3,768,213,5132.03561911992,9.63049594986449,1.71452277581526,21218.7007532132
22,15,11,14,8,-3,896,247,5476.05953752211,8.60364941372024,1.59318728786215,22534.7094396574
22,19,11,21,9,-2.7,1512,409,7319.54280535773,7.79677689234873,1.72881751967286,30233.7903245945
22,15,0,20,11,-3,1760,472,7940.15783357109,6.4027476929534,1.4519198809135,30040.7493286757
22,15,8,17,6,-3,816,228,5085.95618273171,11.5284784548996,1.25868590375871,22856.9377011435
22,15,16,17,15,-2.9,2040,543,9450.44523744642,7.03636665405367,2.99960737269636,35465.5172110285
22,15,0,15,7,-3,840,233,5096.0766160507,9.87221576835299,1.02348107502873,21272.8350141555
22,15,16,16,7,-3,896,248,5436.71647358675,9.90754138303441,1.68516947391884,23095.398971595
22,15,4,18,12,-3,1728,463,8047.18299489475,6.25094405305215,1.80485023379761,30278.6488680989
22,15,1,20,9,-3,1440,390,6990.25330782366,7.78316599762787,1.2375124089947,27756.0278062689
22,17,16,21,6,-2.7,1008,280,5860.39172494751,11.5635861577326,1.72797346330719,27467.3563063211
22,30,18,18,12,-2.7,1728,463,8649.21274792382,6.31390438632451,2.40231878684228,35536.8421092151
22,15,11,16,6,-2.7,768,215,4854.38462701371,11.3644928869993,1.53766053047834,21972.5293428461
22,15,2,17,13,-2.7,1768,473,8075.854034356,6.52999476008803,2.06611590551972,30220.2477572441
22,45,13,16,8,-2.7,1024,281,6939.03151256063,11.4573312820644,1.68565107843222,36044.4483503425
22,15,15,21,6,-2.7,1008,280,5761.86296565098,11.5127645047342,1.72919944331038,26534.452412196
22,15,3,18,8,-2.7,1152,315,6022.49241592323,8.63902790729413,1.37345080367984,24588.3005818371
22,15,15,17,11,-2.7,1496,403,7379.48535597183,6.99833493250133,2.39475217280527,28573.2887586117
22,15,0,15,7,-2.7,840,233,5012.74640560529,9.76823617281591,1.15401212148621,21014.8010387495
22,15,11,15,7,-2.7,840,233,5123.91371566454,9.76580417722792,1.63486271070994,21661.5330932867
22,15,8,16,11,-2.7,1408,380,7068.77877589335,7.17434102187583,2.01096604033899,27176.1121960222
22,31,18,15,13,-2.7,1560,419,8431.17573616122,7.57009639100409,2.6943552323368,34172.3816918706
22,16,14,21,10,-2.7,1680,452,7717.11895346936,6.95305095543704,2.14861152540062,30483.6133130678
22,42,15,22,9,-2.7,1584,428,8841.1657053399,9.61891424914161,1.67538875198625,44674.8276529867
22,18,11,17,8,-2.7,1088,298,6028.39989292286,8.68722231821112,1.69796721414661,25319.5547202538
22,45,5,16,6,-2.7,768,215,6014.57751114432,14.7674299151604,1.52497106083361,35545.7850211909
22,28,14,19,14,-2.7,2128,566,9687.4845246521,5.84787460582345,2.60629741408834,37992.9576758445
22,15,14,15,13,-2.7,1560,419,7900.53735264916,7.88931077901691,2.7804398554456,30200.6250321468
22,15,1,18,11,-2.7,1584,426,7351.47438472421,6.29987728425445,1.66994886532454,27919.0430127509
22,23,5,25,4,-3,800,230,6004.63045680833,16.7914769733295,1.50831849537052,32611.2878516146
22,23,0,25,9,-3,1800,485,8440.52224226807,7.97871428152082,1.20594278447155,35538.1389482627
22,15,9,16,9,-2.9,1152,314,6251.22774009513,7.66959559188502,1.63854128740969,24955.751179547
22,19,5,21,10,-2.8,1680,452,7774.27332343807,7.02123188365259,1.57447671294909,31120.2739984814
22,15,2,18,12,-3,1728,463,8011.71679343186,6.17641793540604,1.765389441516,30059.4762272659
22,15,9,23,8,-3,1472,400,7196.68558938508,8.82219016836203,1.42004018532126,29591.1419659053
22,15,14,21,10,-2.8,1680,452,7738.85909649241,6.95920422539595,2.11441313426487,30384.8864372285
22,15,0,16,8,-2.9,1024,281,5688.74177807692,8.64365650192579,1.20509608691291,23056.6509405929
22,15,16,20,8,-2.9,1280,349,6630.0048550642,8.74444877331761,1.88259182378422,27286.7007950186
22,20,6,25,9,-3,1800,485,8346.3168217834,7.93042699181082,1.33648003615844,34676.7270220299
22,20,9,24,8,-3,1536,417,7650.91217156357,8.92461783286981,1.37119939207832,32644.1263200255
22,15,16,24,8,-2.8,1536,417,7353.89503474319,8.78092297177118,1.91932151209244,30699.1522941934
22,18,19,18,12,-3,1728,463,8399.21123863292,6.61455379383026,2.51164104776357,32478.5336133001
22,15,1,17,13,-3,1768,473,8240.67546860975,6.48987546664319,1.84816006143634,30730.4402860925
22,21,6,16,9,-2.9,1152,314,6392.83652216305,7.80844865740487,1.47257851964768,26266.2630698737
22,15,16,26,7,-3,1456,398,7337.00572866876,10.1184151937232,1.66397994074121,31854.9152513968
22,15,2,17,9,-3,1224,333,6396.59096902093,7.71968640990108,1.31481124581694,25380.0869569495
